"","cluster","type","scores","ncells"
"Plasma B cells4","19","Plasma B cells",5114.55932054654,774
"Memory B cells4","19","Memory B cells",5003.53216235423,774
"Naive B cells8","19","Naive B cells",4513.0865089412,774
"Pro-B cells4","19","Pro-B cells",956.624790589085,774
"Pre-B cells4","19","Pre-B cells",767.366427398641,774
"Immature B cells6","19","Immature B cells",690.267942278512,774
"Mast cells7","19","Mast cells",236.917114985223,774
"Basophils7","19","Basophils",109.625713832693,774
"Progenitor cells5","19","Progenitor cells",24.4568690647507,774
"Eosinophils6","19","Eosinophils",9.49555169765616,774
"Basophils8","22","Basophils",2168.05087507139,641
"Platelets6","22","Platelets",1627.07007368007,641
"Megakaryocyte2","22","Megakaryocyte",1346.42826106769,641
"Mast cells8","22","Mast cells",1071.20080256582,641
"Progenitor cells6","22","Progenitor cells",1046.73982940363,641
"HSC/MPP cells7","22","HSC/MPP cells",496.474767171435,641
"Endothelial6","22","Endothelial",434.934445565967,641
"Eosinophils7","22","Eosinophils",353.4181511382,641
"Erythroid-like and erythroid precursor cells4","22","Erythroid-like and erythroid precursor cells",222.550965908899,641
"Naive B cells9","22","Naive B cells",211.1550014628,641
"CD8+ NKT-like cells3","26","CD8+ NKT-like cells",820.165921918189,262
"CD4+ NKT-like cells3","26","CD4+ NKT-like cells",727.834568838413,262
"Natural killer  cells6","26","Natural killer  cells",654.685003901756,262
"Effector CD8+ T cells3","26","Effector CD8+ T cells",346.476309772202,262
"ISG expressing immune cells3","26","ISG expressing immune cells",318.803634840276,262
"Memory CD8+ T cells3","26","Memory CD8+ T cells",313.654259616606,262
"Naive CD8+ T cells4","26","Naive CD8+ T cells",301.983369304987,262
"γδ-T cells3","26","γδ-T cells",294.345208156133,262
"Progenitor cells7","26","Progenitor cells",241.578064040443,262
"Effector CD4+ T cells3","26","Effector CD4+ T cells",232.922939006507,262
"CD8+ NKT-like cells4","4","CD8+ NKT-like cells",17992.6925214684,4892
"Natural killer  cells7","4","Natural killer  cells",16375.7870984377,4892
"CD4+ NKT-like cells4","4","CD4+ NKT-like cells",15833.3119787331,4892
"Effector CD8+ T cells4","4","Effector CD8+ T cells",6648.55691016495,4892
"Naive CD8+ T cells5","4","Naive CD8+ T cells",5935.55022482468,4892
"γδ-T cells4","4","γδ-T cells",5807.16520573348,4892
"ISG expressing immune cells4","4","ISG expressing immune cells",4957.87866611187,4892
"Memory CD8+ T cells4","4","Memory CD8+ T cells",4087.85267311993,4892
"Effector CD4+ T cells4","4","Effector CD4+ T cells",4069.92815100297,4892
"Naive CD4+ T cells5","4","Naive CD4+ T cells",3294.30684905325,4892
"Erythroid-like and erythroid precursor cells5","20","Erythroid-like and erythroid precursor cells",3259.6751951709,763
"HSC/MPP cells8","20","HSC/MPP cells",380.797546469867,763
"Eosinophils8","20","Eosinophils",210.58184790195,763
"Natural killer  cells8","20","Natural killer  cells",-44.0734785513162,763
"ISG expressing immune cells5","20","ISG expressing immune cells",-44.5900577579958,763
"Platelets7","20","Platelets",-159.336324191633,763
"Mast cells9","20","Mast cells",-192.00640132968,763
"Basophils9","20","Basophils",-206.715878344927,763
"Endothelial7","20","Endothelial",-243.114398676226,763
"Naive B cells10","20","Naive B cells",-334.490508256819,763
"Memory CD4+ T cells3","16","Memory CD4+ T cells",833.358392979185,1223
"Naive CD4+ T cells6","16","Naive CD4+ T cells",813.212243303789,1223
"Memory CD8+ T cells5","16","Memory CD8+ T cells",710.922372541109,1223
"Naive CD8+ T cells6","16","Naive CD8+ T cells",683.371287175052,1223
"Effector CD4+ T cells5","16","Effector CD4+ T cells",528.371695652806,1223
"Erythroid-like and erythroid precursor cells6","16","Erythroid-like and erythroid precursor cells",414.206438963811,1223
"Effector CD8+ T cells5","16","Effector CD8+ T cells",401.167661646485,1223
"γδ-T cells5","16","γδ-T cells",393.026019371758,1223
"Megakaryocyte3","16","Megakaryocyte",130.408475310548,1223
"CD4+ NKT-like cells5","16","CD4+ NKT-like cells",26.6510053089883,1223
"Platelets8","29","Platelets",940.514407716718,131
"Megakaryocyte4","29","Megakaryocyte",274.495632025919,131
"Endothelial8","29","Endothelial",80.8540566526438,131
"Naive CD4+ T cells7","29","Naive CD4+ T cells",57.0992069604521,131
"Naive CD8+ T cells7","29","Naive CD8+ T cells",49.3076451039658,131
"HSC/MPP cells9","29","HSC/MPP cells",41.4825261131706,131
"Plasmacytoid Dendritic cells6","29","Plasmacytoid Dendritic cells",23.7051201887028,131
"Basophils10","29","Basophils",12.3740278105579,131
"Memory CD4+ T cells4","29","Memory CD4+ T cells",11.7774349748801,131
"Progenitor cells8","29","Progenitor cells",8.26968350044265,131
"Naive CD4+ T cells8","7","Naive CD4+ T cells",3191.83225863921,3883
"Naive CD8+ T cells8","7","Naive CD8+ T cells",2865.06563652418,3883
"Memory CD4+ T cells5","7","Memory CD4+ T cells",1522.87801650166,3883
"Memory CD8+ T cells6","7","Memory CD8+ T cells",1245.56101572943,3883
"Megakaryocyte5","7","Megakaryocyte",-344.119830505664,3883
"Effector CD4+ T cells6","7","Effector CD4+ T cells",-529.08663778966,3883
"Endothelial9","7","Endothelial",-721.760320179996,3883
"Eosinophils9","7","Eosinophils",-787.691476377968,3883
"γδ-T cells6","7","γδ-T cells",-796.313675672404,3883
"Mast cells10","7","Mast cells",-836.826949481578,3883
"Erythroid-like and erythroid precursor cells7","25","Erythroid-like and erythroid precursor cells",353.934289117898,417
"Naive CD8+ T cells9","25","Naive CD8+ T cells",137.480515727048,417
"Naive CD4+ T cells9","25","Naive CD4+ T cells",128.372745411731,417
"γδ-T cells7","25","γδ-T cells",2.97194864261736,417
