"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"379",7.14465937410325e-149,1.80957193221847,0.924,0.336,2.40732152951035e-144,"18","DEK"
"380",3.28475814931946e-230,1.80643510684331,0.62,0.085,1.1067664108317e-225,"18","RRM2"
"381",2.01024212344334e-72,2.6962273847152,1,0.997,6.77330981072999e-68,"19","HBB"
"382",1.89024725086769e-70,2.59970365165782,1,0.975,6.3689990870736e-66,"19","HBA2"
"383",2.23105537325694e-67,2.49895056710103,1,0.916,7.51731797465194e-63,"19","HBA1"
"384",3.68811892378858e-110,2.30124757901966,0.946,0.246,1.24267479018132e-105,"19","ALAS2"
"385",9.29368464466636e-111,2.22635272901834,0.959,0.259,3.13141410417388e-106,"19","SNCA"
"386",4.77820227613795e-82,1.77599689827564,0.939,0.322,1.60996747492192e-77,"19","SLC25A39"
"387",8.41409350257527e-96,1.69357535920035,0.986,0.271,2.83504466475771e-91,"19","SLC25A37"
"388",9.53980526742747e-77,1.65172504460677,0.912,0.323,3.21434198680701e-72,"19","BNIP3L"
"389",1.13827661121819e-61,1.63180895094348,0.838,0.306,3.83530921383858e-57,"19","MKRN1"
"390",2.41466799138075e-137,1.59359422713633,0.811,0.136,8.13598233015831e-133,"19","DCAF12"
"391",3.13522804518092e-83,1.56602290202425,0.77,0.186,1.05638373754326e-78,"19","BPGM"
"392",4.90574790985201e-56,1.55987962173079,0.986,0.869,1.65294270074554e-51,"19","UBB"
"393",2.33355472716079e-95,1.43148789915509,0.851,0.2,7.86267929769557e-91,"19","STRADB"
"394",2.93346341385584e-94,1.41626310135267,0.878,0.222,9.88401162664587e-90,"19","ADIPOR1"
"395",2.89482651969527e-77,1.38789933003293,0.493,0.08,9.75382847546125e-73,"19","IFIT1B"
"396",2.36855835494755e-52,1.28874150345362,0.993,0.573,7.98062052116027e-48,"19","HBD"
"397",4.51969111674589e-81,1.25274776744902,0.73,0.159,1.52286472487636e-76,"19","SELENBP1"
"398",1.16825949600574e-63,1.21199782839207,0.534,0.111,3.93633354584173e-59,"19","TRIM58"
"399",2.13159711005934e-46,1.21076025752707,0.764,0.277,7.18220330263393e-42,"19","NCOA4"
"400",1.23719132401023e-55,1.17428947069369,0.723,0.202,4.16859244712008e-51,"19","FECH"
"401",3.93000195682927e-61,2.51900682148,1,0.975,1.32417485933405e-56,"20","HBA2"
"402",9.94518932801826e-60,2.47918819810624,1,0.916,3.35093209218247e-55,"20","HBA1"
"403",6.83150813391961e-54,2.19779903225337,1,0.997,2.30180835064287e-49,"20","HBB"
"404",1.25707379781381e-63,2.03777556740901,0.939,0.396,4.23558445435385e-59,"20","S100A8"
"405",6.71230758276808e-101,1.93474670238169,1,0.259,2.26164491693788e-96,"20","SNCA"
"406",5.25213635254061e-68,1.89608734429107,0.992,0.425,1.76965482262503e-63,"20","S100A9"
"407",1.01256139231308e-96,1.66118690584899,0.803,0.151,3.41172435525971e-92,"20","S100A12"
"408",7.49797546871127e-89,1.65007308413921,0.977,0.246,2.52636785442757e-84,"20","ALAS2"
"409",7.9485945125699e-55,1.5059587016876,1,0.573,2.6781994350653e-50,"20","HBD"
"410",1.44343634615665e-67,1.49015967237114,0.72,0.166,4.86351442474022e-63,"20","CXCL8"
"411",2.11401553666313e-64,1.48030784649879,1,0.427,7.12296394923274e-60,"20","LYZ"
"412",3.36473371486563e-81,1.46127716078743,0.985,0.271,1.13371337788682e-76,"20","SLC25A37"
"413",5.81504091779849e-109,1.42839199374929,0.856,0.154,1.95931988684302e-104,"20","RP11-1143G9.4"
"414",1.00276380814021e-59,1.36464962091957,0.917,0.323,3.37871237514761e-55,"20","BNIP3L"
"415",1.17318015987629e-51,1.34145355584204,0.848,0.306,3.95291323068718e-47,"20","MKRN1"
"416",4.45907974742161e-92,1.27491776013568,0.917,0.191,1.50244233009624e-87,"20","FCN1"
"417",1.3365347962995e-58,1.1934315751846,0.977,0.334,4.50332034265153e-54,"20","TYROBP"
"418",7.70027117904838e-87,1.1876974260687,0.553,0.08,2.59452937106856e-82,"20","IFIT1B"
"419",5.41895217771263e-66,1.18512959415115,0.977,0.316,1.82586174675849e-61,"20","CST3"
"420",4.89480613263801e-100,1.17950462150343,0.909,0.168,1.64925597833105e-95,"20","CSTA"
"421",0,7.29258065899375,0.963,0.004,0,"21","CXCL12"
"422",4.97952027116523e-268,5.880052024465,1,0.022,1.67779956016641e-263,"21","APOE"
"423",0,5.56523129964025,1,0,0,"21","IGFBP5"
"424",1.27708364671055e-44,4.87670692222739,1,0.155,4.30300563922651e-40,"21","CFD"
"425",5.63818937888836e-259,4.5639245224942,1,0.023,1.89973152932264e-254,"21","SEPP1"
"426",2.29210126332055e-05,4.38617127417652,0.407,0.139,0.772300599663227,"21","IGHG3"
"427",1.03150935878561e-30,4.35548994062002,0.963,0.215,3.47556763349222e-26,"21","SOCS3"
"428",0,4.3361079712654,0.778,0.003,0,"21","C10orf10"
"429",2.3744876412002e-56,4.29579359105901,0.926,0.098,8.00059865825995e-52,"21","IGFBP7"
"430",2.00081421547745e-50,4.1588144410925,0.926,0.111,6.74154341762972e-46,"21","EGR1"
"431",6.19001487875467e-221,4.11728313923225,0.963,0.025,2.0856636132476e-216,"21","PTGDS"
"432",0,4.07603529349678,0.963,0.002,0,"21","CTGF"
"433",0,3.96262659455794,0.926,0.014,0,"21","LEPR"
"434",0,3.91314796661785,0.926,0,0,"21","TF"
"435",1.29047013672536e-38,3.9127027964309,1,0.183,4.34811007868242e-34,"21","IFITM3"
"436",9.1594669281895e-290,3.85530210315794,0.963,0.019,3.08619078678417e-285,"21","GAS6"
"437",0,3.85448998185842,0.963,0,0,"21","DCN"
"438",0,3.82892330590919,0.926,0.003,0,"21","FRZB"
"439",1.73055556993025e-188,3.64720459513512,1,0.032,5.83093393732299e-184,"21","MDK"
"440",0,3.56301647343863,0.926,0.01,0,"21","IGFBP2"
