"","cluster","type","scores","ncells"
"NK-CD16+12","22","NK-CD16+",2325.44808294345,641
"T-Nai;CM-CD412","22","T-Nai;CM-CD4",1869.66475723988,641
"T-FH9","22","T-FH",1659.17621954055,641
"T-Reg6","22","T-Reg",1564.60905486055,641
"T-RM;EM-CD88","22","T-RM;EM-CD8",1411.28872426948,641
"T&NK-Cyc4","22","T&NK-Cyc",1297.19601560821,641
"Pre-B4","22","Pre-B",1279.00880973289,641
"Pro-B4","22","Pro-B",1257.29249750879,641
"T-CD4;CD87","22","T-CD4;CD8",1221.69070447454,641
"T-FH10","26","T-FH",759.842841269868,262
"T-Nai;CM-CD4-Act6","26","T-Nai;CM-CD4-Act",241.0374271732,262
"T&NK-Cyc5","26","T&NK-Cyc",223.949701625016,262
"DC23","26","DC2",220.121545271871,262
"T-RM;EM-CD89","26","T-RM;EM-CD8",173.851937191238,262
"T-CD4;CD88","26","T-CD4;CD8",145.864353272503,262
"ILC33","26","ILC3",132.342368950007,262
"NK-CD56bright-CD16-","26","NK-CD56bright-CD16-",90.6253810751171,262
"Mac-Ery3","26","Mac-Ery",78.3861272622839,262
"Pro-B5","26","Pro-B",63.7886487837112,262
"DC24","4","DC2",-284.900331297534,4892
"GC B-I6","4","GC B-I",-421.61116208903,4892
"pDC5","4","pDC",-480.801675441328,4892
"NK-CD56bright-CD16-1","4","NK-CD56bright-CD16-",-792.210579400094,4892
"Plasma5","4","Plasma",-989.76803745627,4892
"Tgd-CRTAM+2","4","Tgd-CRTAM+",-1070.2711060506,4892
"Erythroid3","4","Erythroid",-1171.09627522548,4892
"Cycling2","4","Cycling",-1302.4807890219,4892
"B-Mem2","4","B-Mem",-1419.03596560343,4892
"Plasmablasts1","4","Plasmablasts",-1461.24365918733,4892
"T-FH11","20","T-FH",800.468735046407,763
"Mon-nonCls7","20","Mon-nonCls",690.905824804344,763
"ILC34","20","ILC3",552.016475011203,763
"B-Nai4","20","B-Nai",522.802827320585,763
"T-Nai;CM-CD85","20","T-Nai;CM-CD8",468.363754025949,763
"Mac-Ery4","20","Mac-Ery",449.642079227175,763
"Pre-B5","20","Pre-B",446.18189082411,763
"Erythroid4","20","Erythroid",343.832636178086,763
"T&NK-Cyc6","20","T&NK-Cyc",249.80966712577,763
"Pro-B6","20","Pro-B",177.781487269349,763
"Mon-Cls11","16","Mon-Cls",1953.73310352064,1223
"T-Nai;CM-CD413","16","T-Nai;CM-CD4",1704.78415729555,1223
"NK-CD16+13","16","NK-CD16+",1422.92657174278,1223
"T-EM;EMRA-CD813","16","T-EM;EMRA-CD8",1134.38123218077,1223
"Progenitor5","16","Progenitor",1116.13719381443,1223
"T-RM;EM-CD810","16","T-RM;EM-CD8",164.858777880941,1223
"DC25","16","DC2",-19.512778366606,1223
"Erythroid5","16","Erythroid",-38.4440124928551,1223
"GC B-I7","16","GC B-I",-87.0288232419846,1223
"pDC6","16","pDC",-105.257342384042,1223
"T-EM;EMRA-CD814","29","T-EM;EMRA-CD8",295.10788447534,131
"T&NK-Cyc7","29","T&NK-Cyc",278.300434197223,131
"NK-CD16+14","29","NK-CD16+",236.235449532223,131
"Mon-nonCls8","29","Mon-nonCls",187.585823044794,131
"T-RM;EM-CD811","29","T-RM;EM-CD8",183.025841645876,131
"NK-CD56bright-CD16-2","29","NK-CD56bright-CD16-",177.533367764564,131
"T-Reg7","29","T-Reg",165.012127948133,131
"Pre-B6","29","Pre-B",163.667039816407,131
"T-Nai;CM-CD414","29","T-Nai;CM-CD4",157.024414371306,131
"B-Nai5","29","B-Nai",154.668494802526,131
"Mon-Cls12","7","Mon-Cls",2496.75731843172,3883
"Progenitor6","7","Progenitor",1533.59953492479,3883
"T-Nai;CM-CD415","7","T-Nai;CM-CD4",1282.11113823385,3883
"NK-CD16+15","7","NK-CD16+",345.267982566681,3883
"GC B-I8","7","GC B-I",-376.856728188924,3883
"pDC7","7","pDC",-392.218712350964,3883
"Plasma6","7","Plasma",-805.398195307462,3883
"T-EM;EMRA-CD815","7","T-EM;EMRA-CD8",-1090.02435790037,3883
"Cycling3","7","Cycling",-1131.78392912581,3883
"Erythroid6","7","Erythroid",-1137.46228440068,3883
"Erythroid7","25","Erythroid",96.5936526247582,417
"B-Nai6","25","B-Nai",-6.7561919169284,417
"GC B-I9","25","GC B-I",-35.5198665804264,417
"pDC8","25","pDC",-41.2240408035133,417
"B-Mem3","25","B-Mem",-47.1016219110119,417
"Plasma7","25","Plasma",-52.3060752795556,417
"Mon-nonCls9","25","Mon-nonCls",-77.7949076957887,417
"Mac-Alv5","25","Mac-Alv",-81.9244069983422,417
"Cycling4","25","Cycling",-101.251317133088,417
"Tgd-CRTAM+3","25","Tgd-CRTAM+",-104.006275233309,417
"Mon-Cls13","5","Mon-Cls",1849.70942717494,4679
"T-Nai;CM-CD416","5","T-Nai;CM-CD4",516.955282965497,4679
"Progenitor7","5","Progenitor",273.977568108661,4679
"DC26","5","DC2",-74.7446594558982,4679
"NK-CD16+16","5","NK-CD16+",-200.572194422257,4679
"GC B-I10","5","GC B-I",-349.114669568795,4679
"pDC9","5","pDC",-416.555621364188,4679
"T-EM;EMRA-CD816","5","T-EM;EMRA-CD8",-715.337863607685,4679
"Plasma8","5","Plasma",-924.336760541545,4679
"Tgd-CRTAM+4","5","Tgd-CRTAM+",-1017.58022984585,4679
"Mac-Alv6","30","Mac-Alv",114.616457227243,128
"Mon-Cls14","30","Mon-Cls",98.4217020624911,128
"T-Nai;CM-CD417","30","T-Nai;CM-CD4",87.2816846717205,128
"T-EM;EMRA-CD817","30","T-EM;EMRA-CD8",86.6191564234973,128
"NK-CD16+17","30","NK-CD16+",78.5877128250374,128
"MAST2","30","MAST",70.3255675630059,128
"Mac-IntMed4","30","Mac-IntMed",53.9257775905957,128
"Megakaryocytes2","30","Megakaryocytes",47.5122119652242,128
"Mac-Int4","30","Mac-Int",47.2849428442178,128
"DC27","30","DC2",18.7037567718108,128
"Mac-Alv7","27","Mac-Alv",84.74251005582,148
"Erythroid8","27","Erythroid",39.6373740247691,148
"MAST3","27","MAST",21.7044569874463,148
"Mon-nonCls10","27","Mon-nonCls",19.2520181309047,148
"B-Nai7","27","B-Nai",11.4906079683108,148
"Mac-Int5","27","Mac-Int",4.79292962380372,148
"Megakaryocytes3","27","Megakaryocytes",2.20837393018172,148
"Mac-IntMed5","27","Mac-IntMed",-1.71833468555567,148
"B-Mem4","27","B-Mem",-2.09728686890413,148
"pDC10","27","pDC",-12.1119219672181,148
"Erythroid9","28","Erythroid",44.5755025277629,132
"ILC35","28","ILC3",30.7680280926213,132
"B-Nai8","28","B-Nai",18.6870242391301,132
"Mon-nonCls11","28","Mon-nonCls",4.42121235837174,132
"B-Mem5","28","B-Mem",-0.953607191841864,132
"T-FH12","28","T-FH",-2.37526062618069,132
"T-CD4;CD89","28","T-CD4;CD8",-2.63674578046262,132
"GC B-I11","28","GC B-I",-7.98993164396139,132
"pDC11","28","pDC",-8.10823301381231,132
"Plasma9","28","Plasma",-10.3428652663172,132
"ILC36","23","ILC3",447.490026329111,609
"T-CD4;CD810","23","T-CD4;CD8",387.56022131312,609
"Mac-IntMed6","23","Mac-IntMed",261.463915782316,609
"T-RM;EM-CD812","23","T-RM;EM-CD8",227.74446126174,609
"T-FH13","23","T-FH",213.297184271841,609
"T-Nai;CM-CD4-Act7","23","T-Nai;CM-CD4-Act",150.929219822138,609
"T-EM;EMRA-CD818","23","T-EM;EMRA-CD8",126.00954544089,609
"B-Nai9","23","B-Nai",67.6392952476288,609
"Mac-Ery5","23","Mac-Ery",60.7999934721767,609
"Plasmablasts2","23","Plasmablasts",-15.5625368677208,609
"Erythroid10","18","Erythroid",316.261383957255,930
"B-Nai10","18","B-Nai",246.320019407748,930
"Mon-nonCls12","18","Mon-nonCls",98.7815174656239,930
"B-Mem6","18","B-Mem",28.4267662758455,930
"Plasma10","18","Plasma",-32.6515683332294,930
"T-Nai;CM-CD86","18","T-Nai;CM-CD8",-47.8417812873595,930
"pDC12","18","pDC",-66.352135364119,930
"Mac-Alv8","18","Mac-Alv",-79.2619430639342,930
"GC B-I12","18","GC B-I",-82.3071634255066,930
"Cycling5","18","Cycling",-145.231027151468,930
